id,name,artist_popularity,artist_genres,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
0kKqcNnMxdktsw8ez8LWCG,Melicia,23,"['full on', 'psychedelic trance']",19181,full on,psychedelic trance,,,,NA,NA
2UU01zkZXNVpNux7wIBM8N,The Johnson Mountain Boys,23,"['banjo', 'bluegrass']",9740,banjo,bluegrass,,,,NA,NA
1yboBrfDMPU8uu5FtjXKuv,Ranjani-Gayatri,23,"['carnatic', 'carnatic vocal', 'indian classical']",67081,carnatic,carnatic vocal,indian classical,,,NA,NA
67ksWWGLUlYBPdQjZyDFFt,Gaêlica,23,"['caracas indie', 'venezuelan indie', 'venezuelan rock']",6953,caracas indie,venezuelan indie,venezuelan rock,,,NA,NA
58xGXqTPjJWfwBCQxjPC6W,Mou,23,"['electro-pop francais', 'nantes indie']",3937,electro-pop francais,nantes indie,,,,NA,NA
3e07AHzXnSbfuIBc6IHNio,Dzulfahmi,24,"['indonesian emo rap', 'indonesian underground hip hop']",3348,indonesian emo rap,indonesian underground hip hop,,,,NA,NA
6A0OhEyMfSsEmD5qH6jwdo,Tommy Johnagin,24,"['comedy', 'deep comedy', 'new comedy']",12832,comedy,deep comedy,new comedy,,,NA,NA
7LwqgxFhTy3V2wwa2h37B7,The Greenes,24,"['family gospel', 'southern gospel']",6800,family gospel,southern gospel,,,,NA,NA
1k5pK28cJaiso3iuU1f2nt,Divide,24,['indonesian post-hardcore'],8770,indonesian post-hardcore,,,,,NA,NA
76RtDwuzicmWLEEE5ZtqIj,Portland Cello Project,24,"['bow pop', 'cello', 'modern cello']",11819,bow pop,cello,modern cello,,,NA,NA
2X2KBI2OrNMci6TDQAXCA6,Sold Soul,25,"['blackened deathcore', 'melodic deathcore', 'progressive deathcore']",14993,blackened deathcore,melodic deathcore,progressive deathcore,,,NA,NA
6yv0Vd63iiAaW4665Cs9vT,Higher Power,25,"['modern melodic hardcore', 'ukhc']",23871,modern melodic hardcore,ukhc,,,,NA,NA
1YPYaJyUobMi0eABhZo92N,Half Japanese,25,"['experimental indie rock', 'experimental rock', 'lo-fi', 'outsider', 'post-punk']",23296,experimental indie rock,experimental rock,lo-fi,outsider,post-punk,NA,NA
2D33pq4ECo3gsLbRt3eeo6,Animal Alpha,25,['norwegian rock'],15257,norwegian rock,,,,,NA,NA
0SOCskFcUcLj7Ful8w8KrL,David Bromberg,25,"['country rock', 'folk', 'piedmont blues', 'roots rock', 'singer-songwriter']",31829,country rock,folk,piedmont blues,roots rock,singer-songwriter,NA,NA
6uuENNYnv6R8dVpogSmDWb,La Sombra De Tony Guerrero,25,['tejano'],10888,tejano,,,,,NA,NA
4oEpUae4MWlyjaGx5751ho,Shyn,25,"['malagasy folk', 'malagasy pop']",13112,malagasy folk,malagasy pop,,,,NA,NA
1ZllxyGx0kJ3GZd2YbVUXM,Charlie LeBlanc,25,['classic praise'],10108,classic praise,,,,,NA,NA
7xVgcD64SOhLoXfCxN7yg8,Delia Derbyshire,25,"['british electroacoustic', 'british soundtrack', 'hauntology', 'theme']",19177,british electroacoustic,british soundtrack,hauntology,theme,,NA,NA
4z9qdU7fZTF4fY5PTviqtL,Damar Jackson,26,['pop r&b'],14416,pop r&b,,,,,NA,NA
02Gz7Nb7bIi0oxLIXYELYd,The Foxies,26,['charlotte nc indie'],19119,charlotte nc indie,,,,,NA,NA
2cw7QQfN0zs6QUUGvhYp56,Galkin Evangelistic Team,26,['baptist gospel'],12291,baptist gospel,,,,,NA,NA
4U3wb0z7BUtP0n2ZWdEOrT,Gunhild Carling,26,['swedish jazz'],17987,swedish jazz,,,,,NA,NA
6Dy7Ex5zlTLgXbsB92rPji,iSHi,26,['swedish pop'],7635,swedish pop,,,,,NA,NA
0oN8IZB1C3lY1ABKwJOu1I,Kiha & The Faces,26,"['k-indie', 'k-rock', 'korean indie rock']",27235,k-indie,k-rock,korean indie rock,,,NA,NA
0zvND4IqnGShzA7X47MIkp,The Burkharts,26,['buffalo ny indie'],8044,buffalo ny indie,,,,,NA,NA
